[2026-05-08 15:35:09] ALERT: Intrusion Detected | Track ID: 10 | Action: Security Team Dispatched
[2026-05-08 15:35:12] ALERT: Running Detected | Track ID: 39 | Action: Security Alert Triggered
[2026-05-08 15:35:22] ALERT: Running Detected | Track ID: 41 | Action: Security Alert Triggered
[2026-05-08 15:35:29] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-08 15:35:34] ALERT: Intrusion Detected | Track ID: 55 | Action: Security Team Dispatched
[2026-05-08 15:35:37] ALERT: Running Detected | Track ID: 52 | Action: Security Alert Triggered
[2026-05-08 15:35:39] ALERT: Intrusion Detected | Track ID: 48 | Action: Security Team Dispatched
[2026-05-08 15:35:43] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-08 15:35:44] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-08 15:57:53] ALERT: Intrusion Detected | Track ID: 10 | Action: Security Team Dispatched
[2026-05-08 15:57:55] ALERT: Running Detected | Track ID: 39 | Action: Security Alert Triggered
[2026-05-08 15:58:04] ALERT: Running Detected | Track ID: 41 | Action: Security Alert Triggered
[2026-05-08 15:58:10] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-08 15:58:14] ALERT: Intrusion Detected | Track ID: 55 | Action: Security Team Dispatched
[2026-05-08 15:58:17] ALERT: Running Detected | Track ID: 52 | Action: Security Alert Triggered
[2026-05-08 15:58:19] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-08 15:58:24] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-08 15:58:25] ALERT: Running Detected | Track ID: 32 | Action: Security Alert Triggered
[2026-05-08 15:58:29] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-08 15:58:35] ALERT: Running Detected | Track ID: 90 | Action: Security Alert Triggered
[2026-05-08 15:58:40] ALERT: Running Detected | Track ID: 47 | Action: Security Alert Triggered
[2026-05-08 15:58:54] ALERT: Running Detected | Track ID: 93 | Action: Security Alert Triggered
[2026-05-08 16:30:06] ALERT: Intrusion Detected | Track ID: 10 | Action: Security Team Dispatched
[2026-05-08 16:30:09] ALERT: Running Detected | Track ID: 39 | Action: Security Alert Triggered
[2026-05-08 16:30:17] ALERT: Running Detected | Track ID: 41 | Action: Security Alert Triggered
[2026-05-08 16:30:23] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-08 16:30:27] ALERT: Intrusion Detected | Track ID: 55 | Action: Security Team Dispatched
[2026-05-08 16:30:30] ALERT: Running Detected | Track ID: 52 | Action: Security Alert Triggered
[2026-05-08 16:30:32] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-08 16:30:37] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-08 16:30:38] ALERT: Running Detected | Track ID: 32 | Action: Security Alert Triggered
[2026-05-08 16:30:42] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-08 16:30:47] ALERT: Running Detected | Track ID: 90 | Action: Security Alert Triggered
[2026-05-08 16:30:53] ALERT: Running Detected | Track ID: 47 | Action: Security Alert Triggered
[2026-05-08 16:31:06] ALERT: Running Detected | Track ID: 93 | Action: Security Alert Triggered
[2026-05-08 16:31:07] ALERT: Intrusion Detected | Track ID: 113 | Action: Security Team Dispatched
[2026-05-08 16:31:12] ALERT: Intrusion Detected | Track ID: 105 | Action: Security Team Dispatched
[2026-05-08 16:31:17] ALERT: Intrusion Detected | Track ID: 118 | Action: Security Team Dispatched
[2026-05-08 16:31:20] ALERT: Running Detected | Track ID: 113 | Action: Security Alert Triggered
[2026-05-08 16:31:22] ALERT: Intrusion Detected | Track ID: 113 | Action: Security Team Dispatched
[2026-05-08 16:31:27] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-08 16:31:33] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-08 16:31:38] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-08 16:31:43] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-08 16:31:48] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-08 16:31:53] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-08 16:31:59] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-08 16:32:04] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:04:36] ALERT: Intrusion Detected | Track ID: 10 | Action: Security Team Dispatched
[2026-05-11 11:04:38] ALERT: Running Detected | Track ID: 39 | Action: Security Alert Triggered
[2026-05-11 11:04:48] ALERT: Running Detected | Track ID: 41 | Action: Security Alert Triggered
[2026-05-11 11:04:56] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-11 11:05:01] ALERT: Intrusion Detected | Track ID: 55 | Action: Security Team Dispatched
[2026-05-11 11:05:04] ALERT: Running Detected | Track ID: 52 | Action: Security Alert Triggered
[2026-05-11 11:05:06] ALERT: Intrusion Detected | Track ID: 55 | Action: Security Team Dispatched
[2026-05-11 11:05:11] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-11 11:05:14] ALERT: Running Detected | Track ID: 32 | Action: Security Alert Triggered
[2026-05-11 11:05:17] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-11 11:26:21] ALERT: Intrusion Detected | Track ID: 10 | Action: Security Team Dispatched
[2026-05-11 11:26:24] ALERT: Running Detected | Track ID: 39 | Action: Security Alert Triggered
[2026-05-11 11:26:34] ALERT: Running Detected | Track ID: 41 | Action: Security Alert Triggered
[2026-05-11 11:26:42] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-11 11:26:46] ALERT: Intrusion Detected | Track ID: 55 | Action: Security Team Dispatched
[2026-05-11 11:26:49] ALERT: Running Detected | Track ID: 52 | Action: Security Alert Triggered
[2026-05-11 11:26:51] ALERT: Intrusion Detected | Track ID: 48 | Action: Security Team Dispatched
[2026-05-11 11:26:54] ALERT: Running Detected | Track ID: 64 | Action: Security Alert Triggered
[2026-05-11 11:26:57] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-11 11:27:02] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-11 11:27:09] ALERT: Running Detected | Track ID: 90 | Action: Security Alert Triggered
[2026-05-11 11:27:15] ALERT: Running Detected | Track ID: 47 | Action: Security Alert Triggered
[2026-05-11 11:27:30] ALERT: Running Detected | Track ID: 93 | Action: Security Alert Triggered
[2026-05-11 11:27:31] ALERT: Intrusion Detected | Track ID: 113 | Action: Security Team Dispatched
[2026-05-11 11:27:36] ALERT: Intrusion Detected | Track ID: 105 | Action: Security Team Dispatched
[2026-05-11 11:27:41] ALERT: Intrusion Detected | Track ID: 105 | Action: Security Team Dispatched
[2026-05-11 11:27:45] ALERT: Running Detected | Track ID: 113 | Action: Security Alert Triggered
[2026-05-11 11:27:46] ALERT: Intrusion Detected | Track ID: 113 | Action: Security Team Dispatched
[2026-05-11 11:27:51] ALERT: Intrusion Detected | Track ID: 113 | Action: Security Team Dispatched
[2026-05-11 11:27:56] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:28:01] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:28:07] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:28:12] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:28:17] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:28:22] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:28:27] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:28:33] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:28:38] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
[2026-05-11 11:28:43] ALERT: Intrusion Detected | Track ID: 133 | Action: Security Team Dispatched
[2026-05-11 11:28:48] ALERT: Intrusion Detected | Track ID: 138 | Action: Security Team Dispatched
